n,save_as,date,inn,issuer,title,url
1,add_01.webarchive,2019-03-27,7017114680,"АО ""Томскэнергосбыт""",Поступление эмитенту требования о выкупе эмиссионных ценных ,https://www.e-disclosure.ru/portal/event.aspx?EventId=XLX2mitZ7EaXW2SfKQG4yg-B-B
2,add_02.webarchive,2019-04-10,5403102702,"НПО ""ЭЛСИБ"" АО",Поступление эмитенту обязательного предложения о приобретени,https://www.e-disclosure.ru/portal/event.aspx?EventId=zkCYTskqAEGJQ-A1cSqFZMg-B-B
3,add_03.webarchive,2019-05-07,7715034360,"ОАО ""ОМПК""",Поступление эмитенту требования о выкупе эмиссионных ценных ,https://www.e-disclosure.ru/portal/event.aspx?EventId=pnf3-A2-AHEkCkC-A-AvcibnXg-B-B
4,add_04.webarchive,2019-05-15,4633001577,АО «Михайловский ГОК им. А.В. Варичева»,Поступление эмитенту добровольного предложения о приобретени,https://www.e-disclosure.ru/portal/event.aspx?EventId=UC7FTyYqDUabmn3B2lUyxw-B-B
5,add_05.webarchive,2019-11-07,4633001577,АО «Михайловский ГОК им. А.В. Варичева»,Поступление эмитенту требования о выкупе эмиссионных ценных ,https://www.e-disclosure.ru/portal/event.aspx?EventId=FekcziffpE-CotEUKqQ3e8g-B-B
6,add_06.webarchive,2020-08-05,2723088770,"ПАО ""ДЭК""",Поступление эмитенту обязательного предложения о приобретени,https://www.e-disclosure.ru/portal/event.aspx?EventId=359UzaOzckmObcqD2bZexQ-B-B
7,add_07.webarchive,2021-10-29,3305004397,"АО ""КМЗ""",Поступление эмитенту обязательного предложения о приобретени,https://www.e-disclosure.ru/portal/event.aspx?EventId=QworT-AvxyUGXUngAkY1hkg-B-B
8,add_08.webarchive,2022-10-04,7706043263,"АО ДОК ""Красный Октябрь""",Поступление эмитенту добровольного предложения о приобретени,https://www.e-disclosure.ru/portal/event.aspx?EventId=-C7dHtpYNVE6eMg8MasEuiQ-B-B
9,add_09.webarchive,2023-01-10,7706043263,"АО ДОК ""Красный Октябрь""",Поступление эмитенту требования о выкупе эмиссионных ценных ,https://www.e-disclosure.ru/portal/event.aspx?EventId=fRUAFTDtDkeoxw-CmMMCMTA-B-B
10,add_10.webarchive,2023-04-20,9731121416,"ПАО ""Кристалл""",Поступление эмитенту обязательного предложения о приобретени,https://www.e-disclosure.ru/portal/event.aspx?EventId=-CppkdQfnrkixipflpPk5wQ-B-B
