n,filename,url,date,secid,issuer,type
1,001_2019-03-14_VZRZ.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=AAONRUOnkEq-AFDSEQD6qUA-B-B,14.03.2019,VZRZ,"Банк ""Возрождение"" (ПАО)",требование о выкупе
2,002_2019-03-25_NKHP.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=LLACKvn-CFE6HWIolhZ9zVQ-B-B,25.03.2019,NKHP,"ПАО ""НКХП""",обязательное
3,003_2019-04-03_URKA.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=MQ9-COB4F2Em9D6zOGxLLPg-B-B,03.04.2019,URKA,"ПАО ""Уралкалий""",обязательное
4,004_2019-04-17_MFON.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=0FWdaAHi-CE6AY9qeXFp99g-B-B,17.04.2019,MFON,"ПАО ""МегаФон""",требование о выкупе
5,005_2019-07-29_FTRE.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=IPHwQsqoCkKQZOble1cr8g-B-B,29.07.2019,FTRE,"АО ""ФГ БУДУЩЕЕ""",обязательное
6,006_2019-08-05_URKA.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=BymEYqdrR0K9gzyflznr-Cw-B-B,05.08.2019,URKA,"ПАО ""Уралкалий""",требование о выкупе
7,007_2019-09-16_TASB.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=31xh17aoq0y-AtQ9d-AWbs2A-B-B,16.09.2019,TASB,"ПАО ""Тамбовская энергосбытовая компания""",обязательное
8,008_2019-12-06_FTRE.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=cKtFH-CPh-AUKzcoP7bEyFlg-B-B,06.12.2019,FTRE,"АО ""ФГ БУДУЩЕЕ""",требование о выкупе
9,009_2020-01-14_PRTK.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=lnWLMw4wIEywDDwSVm-AwMA-B-B,14.01.2020,PRTK,"АО ""ПРОТЕК""",добровольное
10,010_2020-01-16_TRCN.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=8xJzDrvl-AUigTAOGV3EMFQ-B-B,16.01.2020,TRCN,ПАО «ТрансКонтейнер»,обязательное
11,011_2020-05-18_TRMK.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=TbigfEQyfkKkeat8J5YJpA-B-B,18.05.2020,TRMK,"ПАО ""ТМК""",добровольное
12,012_2020-06-01_TRCN.webarchive,https://www.e-disclosure.ru/portal/event.aspx?EventId=X413MvIFQEaTFO3tTphkbQ-B-B,01.06.2020,TRCN,ПАО «ТрансКонтейнер»,требование о выкупе
