date_in_document,date_indexed,date_matches,inn_in_document,inn_indexed,inn_matches,issuer_in_document,issuer_indexed,message_id,name_matches,status
,30.07.2021,,,,,,"Акционерное общество ""Научно-производственное предприятие ""Респиратор""",3861846,,stub_page
,03.08.2021,,,,,,"Публичное акционерное общество ""Гофрон""",3862614,,stub_page
,03.08.2021,,,,,,"Публичное акционерное общество ""Инновационный фонд ""Аз-Капитал""",3863709,,stub_page
,06.08.2021,,,,,,"Публичное акционерное общество ""Санкт-Петербургский Индустриальный Акционерный Банк""",3866919,,stub_page
,10.08.2021,,,,,,"Публичное акционерное общество ""Городские Инновационные Технологии""",3866921,,stub_page
,18.08.2021,,,,,,"Публичное акционерное общество ""Приборный завод ""ТЕНЗОР""",3868381,,stub_page
,18.08.2021,,,,,,"Акционерное общество ""Первый Московский приборостроительный завод им. В.А. Казакова""",3868410,,stub_page
,12.08.2021,,,,,,"Публичное акционерное общество ""Челябинский трубопрокатный завод""",3869311,,stub_page
,25.08.2021,,,,,,"Публичное акционерное общество ""Акрон""",3873912,,stub_page
,31.08.2021,,,,,,"Публичное акционерное общество ""Московская объединенная энергетическая компания""",3885469,,stub_page
,06.09.2021,,,,,,"Публичное акционерное общество ""Метафракс Кемикалс""",3916257,,stub_page
,25.08.2021,,,,,,"Открытое акционерное общество ""Тверской полиграфический комбинат""",3972401,,stub_page
,07.09.2021,,,,,,"Публичное акционерное общество ""Племзавод им. В.И. Чапаева""",4001953,,stub_page
,18.08.2021,,,,,,"Открытое акционерное общество ""Тверской экскаватор""",4002080,,stub_page
,13.09.2021,,,,,,"Публичное акционерное общество ""Авиационный комплекс им. С.В.Ильюшина""",4002611,,stub_page
,16.09.2021,,,,,,"Публичное акционерное общество ""Инвестиционный фонд ""Защита""",4003055,,stub_page
,14.09.2021,,,,,,"Открытое акционерное общество ""Белгородасбестоцемент""",4003552,,stub_page
,09.09.2021,,,,,,"Акционерное общество ""Коминефтегеофизика""",4004453,,stub_page
,17.09.2021,,,,,,"Публичное акционерное общество ""Первый Московский завод радиодеталей""",4008907,,stub_page
,22.09.2021,,,,,,Публичное акционерное общество им. С.М. Кирова,4010885,,stub_page
,01.10.2021,,,,,,"Открытое акционерное общество ""Заволжский завод гусеничных тягачей""",4014369,,stub_page
,27.08.2021,,,,,,"Публичное акционерное общество ""Восточный экспресс банк""",4015184,,stub_page
,22.10.2021,,,,,,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""",4015625,,stub_page
,27.10.2021,,,,,,"Акционерное общество ""НОРД""",4015645,,stub_page
,21.09.2021,,,,,,"Акционерное общество ""Ямалтрансстрой""",4016248,,stub_page
,28.10.2021,,,,,,"Акционерное общество ""Газпром электрогаз""",4016520,,stub_page
,25.10.2021,,,,,,"Публичное акционерное общество ""Челябинская швейная фабрика ""Одежда""",4017868,,stub_page
,11.10.2021,,,,,,"публичное акционерное общество ""Химико-металлургический завод""",4018479,,stub_page
,08.11.2021,,,,,,"Публичное акционерное общество ""ПЕРМГРАЖДАНПРОЕКТ""",4019743,,stub_page
,09.11.2021,,,,,,"Публичное акционерное общество ""Можайское оптово-розничное предприятие""",4020352,,stub_page
,29.10.2021,,,,,,"Публичное акционерное общество ""Косогорский металлургический завод""",4021943,,stub_page
,27.10.2021,,,,,,"Акционерное общество ""Производственный комплекс ХК ЭЛЕКТРОЗАВОД""",4022528,,stub_page
,11.11.2021,,,,,,"Открытое акционерное общество ""Валерия""",4022586,,stub_page
