delisted_on,secid,isin,instrument_type,inn,issuer
2019-04-09,AVAZ,RU0009071187,common_share,6320002223,"Акционерное общество ""АВТОВАЗ"""
2019-04-09,AVAZP,RU000A0JQ433,preferred_share,6320002223,"Акционерное общество ""АВТОВАЗ"""
2019-05-29,VTRS,RU000A0JS9K8,common_share,7813510515,"Публичное акционерное общество ""ВТОРРЕСУРСЫ"""
2019-05-31,GTPR,RU000A0JSSK8,common_share,7813511396,"Открытое акционерное общество ""ГлавТоргПродукт"""
2019-05-31,TGKO,RU0006944105,common_share,6154002200,"Открытое акционерное общество ""Таганрогский комбайновый завод"""
2019-05-31,UTSY,RU000A0JULB8,common_share,7816546936,"Публичное акционерное общество ""Единые Техно Системы"""
2019-07-24,CLSB,RU000A0EABG1,common_share,7451213318,"Публичное акционерное общество ""Челябэнергосбыт"""
2019-07-24,CLSBP,RU000A0EABH9,preferred_share,7451213318,"Публичное акционерное общество ""Челябэнергосбыт"""
2019-08-21,MNFD,RU000A0ER754,common_share,7725039167,"Публичное акционерное общество ""МН-фонд"""
2019-09-06,MGVM,RU000A0JRUT7,common_share,7813503571,"Открытое акционерное общество Медиа группа ""Война и Мир"""
2019-09-27,ARMD,RU000A0JP4J4,common_share,7702568982,"Публичное акционерное общество ""АРМАДА"""
2020-02-07,PLSM,RU000A0JRPV3,common_share,7709732938,"Публичное акционерное общество ""Плазмек"""
2020-03-18,VDSB,RU000A0DQWJ9,common_share,3302021309,"Публичное акционерное общество ""Владимирская энергосбытовая компания"""
2020-03-27,OPIN,RU000A0DJ9B4,common_share,7702336269,"Публичное акционерное общество ""ИНГРАД"""
2020-04-09,FTRE,RU000A0JWNX4,common_share,9710010585,"Публичное акционерное общество ""Финансовая группа БУДУЩЕЕ"""
2020-06-29,SZPR,RU0009100861,common_share,7812023195,"Публичное акционерное общество ""Северо-Западное пароходство"""
2020-12-29,PRTK,RU000A0JQU47,common_share,7715354473,"Акционерное общество ""ПРОТЕК"""
2021-01-13,TANL,RU000A0B9000,common_share,6453011530,"Публичное акционерное общество ""Тантал"""
2021-01-13,TANLP,RU000A0B9018,preferred_share,6453011530,"Публичное акционерное общество ""Тантал"""
2021-03-25,OBUV,RU000A0JXKG3,common_share,5410779580,"Публичное акционерное общество ""ОР ГРУПП"""
2021-05-17,HALS,RU000A0JNP96,common_share,7706032060,"Акционерное общество ""СГ-Девелопмент"""
2021-06-10,VZRZ,RU0009084214,common_share,5000001042,"Публичное акционерное общество Банк ""Возрождение"""
2021-06-10,VZRZP,RU0009100127,preferred_share,5000001042,"Публичное акционерное общество Банк ""Возрождение"""
2021-06-21,KBTK,RU000A0JPYD7,common_share,4205003440,"Акционерное общество ""Кузбасская Топливная Компания"""
2021-09-14,MOBB,RU000A0JS7V9,common_share,7750005588,Акционерное общество МОСКОВСКИЙ ОБЛАСТНОЙ БАНК
2021-10-11,ALBK,RU000A0JS2M9,common_share,7831000034,"Акционерное общество ""СПБ Банк"""
2021-10-11,KUNF,RU000A0JPGE2,common_share,6666003414,"Акционерное общество ""Каменск-Уральский завод по обработке цветных металлов"""
2021-10-29,TUCH,RU000A0JR4D5,common_share,5075002220,"Публичное акционерное общество ""Тучковский комбинат строительных материалов"""
2021-12-23,SELGP,RU000A0JS2J5,preferred_share,1402047184,"Публичное акционерное общество ""Селигдар"""
2021-12-24,ALNU,RU000A0JP468,common_share,1419003844,"Публичное акционерное общество ""АЛРОСА-Нюрба"""
2022-03-02,GTLC,RU000A0JTN19,common_share,7706211944,"Публичное акционерное общество ""ДжиТиЭл"""
2022-03-02,MSST,RU000A0JTFH9,common_share,7719815118,"Открытое акционерное общество ""Мультисистема"""
2022-03-30,RLMN,RU000A0JTAP3,common_share,7841445498,"Публичное акционерное общество ""Группа Компаний  ""Роллман"""
2022-03-30,RLMNP,RU000A0JU229,preferred_share,7841445498,"Публичное акционерное общество ""Группа Компаний  ""Роллман"""
2022-04-06,CHEP,RU0009066807,common_share,7449006730,"Акционерное общество ""Челябинский трубопрокатный завод"""
2022-06-15,RUSP,RU000A0JNH21,common_share,5251008501,"Публичное акционерное общество ""Русполимет"""
2022-06-28,RAVN,GB00B0D5V538,common_share,0010037589,Raven Property Group Limited
2022-07-20,POGR,GB0031544546,common_share,0010038214,Petropavlovsk PLC
2022-09-29,GTSS,RU000A0JQ7U3,common_share,7203215460,"Акционерное общество ""ГЕОТЕК"""
2022-12-13,BISV,RU0009059216,common_share,0274018377,"Публичное акционерное общество ""Башинформсвязь"""
2022-12-13,DERZP,RU000A1021R0,preferred_share,7729003482,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество"""
2022-12-13,HIMC,RU0009098990,common_share,2124009521,"Публичное акционерное общество ""Химпром"""
2022-12-13,KRKO,RU0009098123,common_share,6154023009,"Публичное акционерное общество ""Таганрогский котлостроительный завод ""Красный котельщик"""
2022-12-13,KSGR,RU000A0ERNT3,common_share,4205001274,"Публичное акционерное общество ""Кокс"""
2022-12-13,MFON,RU000A0JS942,common_share,7812014560,"Публичное акционерное общество ""МегаФон"""
2022-12-13,MORI,RU0009092431,common_share,5905000038,"Публичное акционерное общество ""Морион"""
2022-12-13,TRCN,RU000A0JPRX9,common_share,7708591995,"Публичное акционерное общество ""ТрансКонтейнер"""
2022-12-13,TRFM,RU000A0JUGP8,common_share,7708797192,"Публичное акционерное общество ""ТрансФин-М"""
2022-12-13,URKA,RU0007661302,common_share,5911029807,"Публичное акционерное общество ""Уралкалий"""
2022-12-14,SIBG,RU000A0JVA36,common_share,8602253571,"Публичное акционерное общество ""Айс стим Рус"""
2022-12-30,RSTI,RU000A0JPVJ0,common_share,7728662669,"Публичное акционерное общество ""Российские сети"""
2022-12-30,RSTIP,RU000A0JPVK8,preferred_share,7728662669,"Публичное акционерное общество ""Российские сети"""
2023-01-17,DASB,RU000A0F63G0,common_share,0541031172,"Публичное акционерное общество ""Дагестанская энергосбытовая компания"""
2023-01-24,TGKD,RU000A0JNMZ0,common_share,6829012680,"Акционерное общество ""Квадра - Генерирующая компания"""
2023-01-24,TGKDP,RU000A0JNNB9,preferred_share,6829012680,"Акционерное общество ""Квадра - Генерирующая компания"""
2023-02-28,IRGZ,RU0008960828,common_share,3800000220,Иркутское акционерное общество энергетики и электрификации
2023-03-28,ENRU,RU000A0F5UN3,common_share,6671156423,"Публичное акционерное общество ""ЭЛ5-Энерго"""
2023-05-19,IDVP,RU000A0JV7V4,common_share,7714933728,"Публичное акционерное общество ""ИНВЕСТ-ДЕВЕЛОПМЕНТ"""
2023-05-19,MERF,RU000A0JQ128,common_share,7704038268,"Публичное акционерное общество ""МЕРИДИАН"""
2023-05-19,ODVA,RU000A0JPWV3,common_share,7706662633,"Публичное акционерное общество ""Медиахолдинг"""
2023-05-19,ORUP,RU000A0JXKG3,common_share,5410779580,"Публичное акционерное общество ""ОР ГРУПП"""
2023-08-17,ISKJ,RU000A0JNAB6,common_share,7702508905,"Публичное акционерное общество ""Артген биотех"""
2023-10-17,UCSS,RU000A0JTQK0,common_share,7708776756,"Акционерное общество ""Объединенные Кредитные Системы"""
2023-11-16,RUGR,RU000A0JPNP4,common_share,7706533405,"Публичное акционерное общество ""Русгрэйн Холдинг"""
2024-06-20,ELTZ,RU000A0B66V1,common_share,1500000113,"Публичное акционерное общество ""Электроцинк"""
2024-07-09,YNDX,NL0009805522,common_share,0010034514,Nebius Group N.V.
2024-10-14,POLY,JE00B6T5S470,common_share,0010033331,Solidcore Resources plc
2024-11-27,TCSG,RU000A107UL4,common_share,2540283195,"Международная компания публичное акционерное общество ""Т-Технологии"""
2024-12-12,KUBE,RU0009046767,common_share,2309001660,"Публичное акционерное общество ""Россети Кубань"""
2025-01-10,ROSB,RU000A0HHK26,common_share,7730060164,Публичное акционерное общество РОСБАНК
2025-02-17,DSKY,RU000A0JSQ90,common_share,7729355029,"Публичное акционерное общество ""Детский мир"""
2025-03-04,ACKO,RU000A0JXS91,common_share,7453297458,"Публичное акционерное общество ""АСКО"""
2025-06-18,INGR,RU000A0DJ9B4,common_share,7702336269,"Публичное акционерное общество ""ИНГРАД"""
