inn,issuer,status,documents,procedure_documents
0010033331,Solidcore Resources plc,empty_page,0,0
0010034514,Nebius Group N.V.,empty_page,0,0
0010037589,Raven Property Group Limited,empty_page,0,0
0010038214,Petropavlovsk PLC,empty_page,0,0
0274018377,"Публичное акционерное общество ""Башинформсвязь""",empty_page,0,0
0541031172,"Публичное акционерное общество ""Дагестанская энергосбытовая компания""",empty_page,0,0
1402047184,"Публичное акционерное общество ""Селигдар""",empty_page,0,0
1419003844,"Публичное акционерное общество ""АЛРОСА-Нюрба""",has_documents,142,0
1500000113,"Публичное акционерное общество ""Электроцинк""",empty_page,0,0
2124009521,"Публичное акционерное общество ""Химпром""",empty_page,0,0
2309001660,"Публичное акционерное общество ""Россети Кубань""",empty_page,0,0
2540283195,"Международная компания публичное акционерное общество ""Т-Технологии""",empty_page,0,0
3302021309,"Публичное акционерное общество ""Владимирская энергосбытовая компания""",empty_page,0,0
3800000220,Иркутское акционерное общество энергетики и электрификации,empty_page,0,0
4205001274,"Публичное акционерное общество ""Кокс""",empty_page,0,0
4205003440,"Акционерное общество ""Кузбасская Топливная Компания""",empty_page,0,0
5000001042,"Публичное акционерное общество Банк ""Возрождение""",empty_page,0,0
5075002220,"Публичное акционерное общество ""Тучковский комбинат строительных материалов""",empty_page,0,0
5251008501,"Публичное акционерное общество ""Русполимет""",empty_page,0,0
5410779580,"Публичное акционерное общество ""ОР ГРУПП""",empty_page,0,0
5905000038,"Публичное акционерное общество ""Морион""",has_documents,174,1
5911029807,"Публичное акционерное общество ""Уралкалий""",empty_page,0,0
6154002200,"Открытое акционерное общество ""Таганрогский комбайновый завод""",empty_page,0,0
6154023009,"Публичное акционерное общество ""Таганрогский котлостроительный завод ""Красный котельщик""",empty_page,0,0
6320002223,"Акционерное общество ""АВТОВАЗ""",empty_page,0,0
6453011530,"Публичное акционерное общество ""Тантал""",empty_page,0,0
6666003414,"Акционерное общество ""Каменск-Уральский завод по обработке цветных металлов""",empty_page,0,0
6671156423,"Публичное акционерное общество ""ЭЛ5-Энерго""",empty_page,0,0
6829012680,"Акционерное общество ""Квадра - Генерирующая компания""",empty_page,0,0
7203215460,"Акционерное общество ""ГЕОТЕК""",empty_page,0,0
7449006730,"Акционерное общество ""Челябинский трубопрокатный завод""",empty_page,0,0
7451213318,"Публичное акционерное общество ""Челябэнергосбыт""",empty_page,0,0
7453297458,"Публичное акционерное общество ""АСКО""",empty_page,0,0
7702336269,"Публичное акционерное общество ""ИНГРАД""",empty_page,0,0
7702508905,"Публичное акционерное общество ""Артген биотех""",empty_page,0,0
7702568982,"Публичное акционерное общество ""АРМАДА""",empty_page,0,0
7704038268,"Публичное акционерное общество ""МЕРИДИАН""",empty_page,0,0
7706032060,"Акционерное общество ""СГ-Девелопмент""",empty_page,0,0
7706211944,"Публичное акционерное общество ""ДжиТиЭл""",empty_page,0,0
7706533405,"Публичное акционерное общество ""Русгрэйн Холдинг""",empty_page,0,0
7706662633,"Публичное акционерное общество ""Медиахолдинг""",empty_page,0,0
7708591995,"Публичное акционерное общество ""ТрансКонтейнер""",empty_page,0,0
7708776756,"Акционерное общество ""Объединенные Кредитные Системы""",has_documents,109,0
7708797192,"Публичное акционерное общество ""ТрансФин-М""",empty_page,0,0
7709732938,"Публичное акционерное общество ""Плазмек""",empty_page,0,0
7714933728,"Публичное акционерное общество ""ИНВЕСТ-ДЕВЕЛОПМЕНТ""",empty_page,0,0
7715354473,"Акционерное общество ""ПРОТЕК""",empty_page,0,0
7719815118,"Открытое акционерное общество ""Мультисистема""",empty_page,0,0
7725039167,"Публичное акционерное общество ""МН-фонд""",empty_page,0,0
7728662669,"Публичное акционерное общество ""Российские сети""",empty_page,0,0
7729003482,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",empty_page,0,0
7729355029,"Публичное акционерное общество ""Детский мир""",empty_page,0,0
7730060164,Публичное акционерное общество РОСБАНК,empty_page,0,0
7750005588,Акционерное общество МОСКОВСКИЙ ОБЛАСТНОЙ БАНК,empty_page,0,0
7812014560,"Публичное акционерное общество ""МегаФон""",empty_page,0,0
7812023195,"Публичное акционерное общество ""Северо-Западное пароходство""",empty_page,0,0
7813503571,"Открытое акционерное общество Медиа группа ""Война и Мир""",empty_page,0,0
7813510515,"Публичное акционерное общество ""ВТОРРЕСУРСЫ""",empty_page,0,0
7813511396,"Открытое акционерное общество ""ГлавТоргПродукт""",empty_page,0,0
7816546936,"Публичное акционерное общество ""Единые Техно Системы""",empty_page,0,0
7831000034,"Акционерное общество ""СПБ Банк""",empty_page,0,0
7841445498,"Публичное акционерное общество ""Группа Компаний  ""Роллман""",empty_page,0,0
8602253571,"Публичное акционерное общество ""Айс стим Рус""",empty_page,0,0
9710010585,"Публичное акционерное общество ""Финансовая группа БУДУЩЕЕ""",empty_page,0,0
