inn,issuer,md5,title,published_at
0264011929,"Aкционерное общество ""Нефтекамская кожгалантерейная фабрика""",853ab63ae572ffcdd610e8dee34d8d73,Требование о выкупе акций АО НКГФ 23.10.2024,23.10.2024
0264011929,"Aкционерное общество ""Нефтекамская кожгалантерейная фабрика""",04c557d128b399cde3686161f25f058f,Обязательное предложение о приобретении акций АО НКГФ 01.08.2024,01.08.2024
4024002029,"Публичное акционерное общество ""Агрегатный завод""",f1a52966de2b47df5e465c5fa32d3dc1,Поступление эмитенту требования о выкупе ценных бумаг эмитента 18.10.2022 18.10.2022,18.10.2022
4024002029,"Публичное акционерное общество ""Агрегатный завод""",7ac48748f1764d80c644934990d548ed,Поступление эмитенту Добровольного предложения о приобретении его эмиссионных ценных бумаг 13.05.2022 13.05.2022,13.05.2022
4024002029,"Публичное акционерное общество ""Агрегатный завод""",58d96d0c2f452c556a6ac2db0fc586ff,"Направление добровольного или обязательного предложения, касающегося приобретения акций ПАО, в Банк России 02.03.2022 02.03.2022",02.03.2022
5031008224,"Публичное акционерное общество ""Эталон""",d07d121e28161f7713f120cfe5a38199,Требование о выкупе эмиссионных ценных бумаг ПАО «Эталон» 18.01.2024,18.01.2024
5031008224,"Публичное акционерное общество ""Эталон""",916a791d6f4b2085c7b2e2e647803572,Добровольное предложение 19.10.2023,19.10.2023
5034050231,"Акционерное общество ""Научно-производственное предприятие ""Респиратор""",96a8aaead55e6233d6cbfbf13249e4e3,Приложение №2 к Добровольному предложению о раскрытии акций 11.07.2016 11.07.2016,11.07.2016
5034050231,"Акционерное общество ""Научно-производственное предприятие ""Респиратор""",346a1af2fd34f5589d0e7d88ae134ccf,Добровольное предложение о приобретении ценных бумаг 11.07.2016 11.07.2016,11.07.2016
5034050231,"Акционерное общество ""Научно-производственное предприятие ""Респиратор""",2760968246b3d9251a1167242a704d36,Добровольное предложение о приобретении эмиссионных ценных бумаг 06.09.2016,06.09.2016
5034050231,"Акционерное общество ""Научно-производственное предприятие ""Респиратор""",a241ead8c90e935461ef7b7f20bf1fe0,Письмо о добровольном предложении 06.09.2016,06.09.2016
5034050231,"Акционерное общество ""Научно-производственное предприятие ""Респиратор""",0307f169744a00dd06684f1de486c18e,Форма заявления о принятии добровольного предложения и продаже выкупаемых ценных бумаг 06.09.2016,06.09.2016
6911003670,"Акционерное общество ""Агрофирма Дмитрова Гора""",10b507738d27f50b10abf3627e681983,Добровольное предложение 15.07.2022 15.07.2022,15.07.2022
6911003670,"Акционерное общество ""Агрофирма Дмитрова Гора""",4ccb8031491a1b4897d1ef2ffb8a663d,Рекомендации Совета Директоров АО «Агрофирма Дмитрова Гора» в отношении полученного от Новикова С.А. требования о выкупе ЦБ 17.03.2023,17.03.2023
