event_id,announcement_date,event_type,issuer,inn,secid,isin,is_traded_now,trading_days_sampled,median_daily_turnover_rub,days_of_volume_for_position,passes_d7
e1-azipi-4054592,2022-03-05,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Квадра - Генерирующая компания""",6829012680,TGKD,RU000A0JNMZ0,0,99,1104614,0.18,yes
e1-azipi-4054592,2022-03-05,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Квадра - Генерирующая компания""",6829012680,TGKDP,RU000A0JNNB9,0,90,120603,1.66,yes
e1-azipi-4056123,2022-03-14,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""",7534018889,TGKN,RU000A0H1ES3,1,98,364465,0.55,yes
e1-azipi-4077792,2022-05-20,voluntary_or_mandatory_offer,"Публичное акционерное общество Научно-производственное объединение ""Наука""",7714005350,NAUK,RU000A0JRPX9,1,40,297004,0.67,yes
e1-azipi-4089264,2022-06-21,voluntary_or_mandatory_offer,Публичное акционерное общество РОСБАНК,7730060164,ROSB,RU000A0HHK26,0,43,426324,0.47,yes
e1-azipi-4101156,2022-07-22,squeeze_out_request_95,"Публичное акционерное общество ""Квадра - Генерирующая компания""",6829012680,TGKD,RU000A0JNMZ0,0,100,105098,1.9,yes
e1-azipi-4101156,2022-07-22,squeeze_out_request_95,"Публичное акционерное общество ""Квадра - Генерирующая компания""",6829012680,TGKDP,RU000A0JNNB9,0,100,22215,9.0,no
e1-azipi-4109332,2022-08-26,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Кокс""",4205001274,KOKS,RU000A0ERNT3,0,0,0,,no
e1-azipi-4109332,2022-08-26,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Кокс""",4205001274,KSGR,RU000A0ERNT3,0,0,0,,no
e1-azipi-4130075,2022-11-21,voluntary_or_mandatory_offer,Публичное акционерное общество РОСБАНК,7730060164,ROSB,RU000A0HHK26,0,69,104014,1.92,yes
e1-azipi-4130056,2022-11-21,voluntary_or_mandatory_offer,Публичное акционерное общество РОСБАНК,7730060164,ROSB,RU000A0HHK26,0,69,104014,1.92,yes
e1-azipi-4136224,2022-12-14,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",6168002922,RTSB,RU000A0D8PB4,1,81,34556,5.79,no
e1-azipi-4136224,2022-12-14,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",6168002922,RTSBP,RU000A0D8PC2,1,82,21950,9.11,no
e1-azipi-4136563,2022-12-15,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ТНС энерго Кубань""",2308119595,KBSB,RU000A0JNJ11,1,63,67720,2.95,yes
e1-azipi-4140835,2022-12-29,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Нижнекамскшина""",1651000027,NKSH,RU0009100515,1,64,105343,1.9,yes
e1-azipi-4185989,2023-05-30,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Детский мир""",7729355029,DSKY,RU000A0JSQ90,0,91,12521673,0.02,yes
e1-azipi-4185998,2023-05-30,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Детский мир""",7729355029,DSKY,RU000A0JSQ90,0,91,12521673,0.02,yes
