event_id,announcement_date,filer,target_named_in_document,target_source,secid,secid_in_reference_book,procedure_price,market_close_before,price_to_market,status
e1-ix-2829212,2019-03-25,Публичное акционерное общество «Новороссийский комбинат хлебопродуктов»,ПАО «НКХП»,document,,,234.75,,,target_not_listed_on_moex
e1-ix-2840722,2019-04-03,"Публичное акционерное общество ""Уралкалий""","Публичное акционерное общество ""Уралкалий""",filer,URKA,URKA,89,87.1,1.022,ok
e1-ix-2840722,2019-04-03,"Публичное акционерное общество ""Уралкалий""","Публичное акционерное общество ""Уралкалий""",filer,URKA-004D,URKA-004D,89,,,no_pre_event_market_data
e1-ix-2840722,2019-04-03,"Публичное акционерное общество ""Уралкалий""","Публичное акционерное общество ""Уралкалий""",filer,URKA-005D,URKA-005D,89,,,no_pre_event_market_data
e1-ix-2844673,2019-04-10,Научно-производственное объединение «ЭЛСИБ» публичное акционерное общество,Научно-производственное объединение «ЭЛСИБ» публичное акционерное общество,filer,ELIB,ELIB,1827.15,,,no_pre_event_market_data
e1-ix-2862684,2019-05-15,Публичное акционерное общество «Михайловский ГОК»,Публичное акционерное общество «Михайловский ГОК»,filer,RU14MGOK1009,RU14MGOK1009,16866.10,,,no_pre_event_market_data
e1-ix-2862684,2019-05-15,Публичное акционерное общество «Михайловский ГОК»,Публичное акционерное общество «Михайловский ГОК»,filer,RU14MGOK3005,RU14MGOK3005,16866.10,,,no_pre_event_market_data
e1-ix-2902900,2019-07-29,"Публичное акционерное общество ""Финансовая группа БУДУЩЕЕ""","Публичное акционерное общество ""Финансовая группа БУДУЩЕЕ""",filer,FTRE,FTRE,80.81,78.0,1.036,ok
e1-ix-2917698,2019-09-16,"Публичное акционерное общество ""Тамбовская энергосбытовая компания""","Публичное акционерное общество ""Тамбовская энергосбытовая компания""",filer,TASB,TASB,0.26,0.2605,0.998,ok
e1-ix-2917698,2019-09-16,"Публичное акционерное общество ""Тамбовская энергосбытовая компания""","Публичное акционерное общество ""Тамбовская энергосбытовая компания""",filer,TASBP,TASBP,0.26,0.192,1.354,ok
e1-ix-2962130,2020-01-14,"Публичное акционерное общество ""ПРОТЕК""","Публичное акционерное общество ""ПРОТЕК""",filer,PRTK,PRTK,100,98.0,1.02,ok
e1-ix-2962750,2020-01-16,Публичное акционерное общество «Центр по перевозке грузов в контейнерах «ТрансКонтейнер»,ПАО «ТрансКонтейнер»,document,TRCN,TRCN,8679.52,8500.0,1.021,ok
e1-ix-3013746,2020-05-18,"Публичное акционерное общество ""Трубная Металлургическая Компания""","Публичное акционерное общество ""Трубная Металлургическая Компания""",filer,TRMK,TRMK,61,58.82,1.037,ok
e1-ix-3013746,2020-05-18,"Публичное акционерное общество ""Трубная Металлургическая Компания""","Публичное акционерное общество ""Трубная Металлургическая Компания""",filer,TMKS,TMKS,61,,,no_pre_event_market_data
