event_id,announcement_date,event_type,issuer,inn,secid,isin,is_traded_now
e1-azipi-3869311,2021-08-12,squeeze_out_request_95,"Публичное акционерное общество ""Челябинский трубопрокатный завод""",7449006730,CHEP,RU0009066807,0
e1-azipi-4021943,2021-10-29,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Косогорский металлургический завод""",7104002774,KMTZ,RU000A0HF1L0,1
e1-azipi-4056123,2022-03-05,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Квадра - Генерирующая компания""",6829012680,TGKD,RU000A0JNMZ0,0
e1-azipi-4056123,2022-03-05,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Квадра - Генерирующая компания""",6829012680,TGKDP,RU000A0JNNB9,0
e1-azipi-4066130,2022-03-14,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""",7534018889,TGKN,RU000A0H1ES3,1
e1-azipi-4089264,2022-05-20,voluntary_or_mandatory_offer,"Публичное акционерное общество Научно-производственное объединение ""Наука""",7714005350,NAUK,RU000A0JRPX9,1
e1-azipi-4109332,2022-06-21,voluntary_or_mandatory_offer,Публичное акционерное общество РОСБАНК,7730060164,ROSB,RU000A0HHK26,0
e1-azipi-4109239,2022-07-22,squeeze_out_request_95,"Публичное акционерное общество ""Квадра - Генерирующая компания""",6829012680,TGKD,RU000A0JNMZ0,0
e1-azipi-4109239,2022-07-22,squeeze_out_request_95,"Публичное акционерное общество ""Квадра - Генерирующая компания""",6829012680,TGKDP,RU000A0JNNB9,0
e1-azipi-4111365,2022-08-25,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Кокс""",4205001274,KOKS,RU000A0ERNT3,0
e1-azipi-4111365,2022-08-25,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Кокс""",4205001274,KSGR,RU000A0ERNT3,0
e1-azipi-4132453,2022-11-21,voluntary_or_mandatory_offer,Публичное акционерное общество РОСБАНК,7730060164,ROSB,RU000A0HHK26,0
e1-azipi-4132134,2022-11-21,voluntary_or_mandatory_offer,Публичное акционерное общество РОСБАНК,7730060164,ROSB,RU000A0HHK26,0
e1-azipi-4136563,2022-12-14,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",6168002922,RTSB,RU000A0D8PB4,1
e1-azipi-4136563,2022-12-14,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",6168002922,RTSBP,RU000A0D8PC2,1
e1-azipi-4139706,2022-12-15,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ТНС энерго Кубань""",2308119595,KBSB,RU000A0JNJ11,1
e1-azipi-4150903,2023-01-09,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ЭЛ5-Энерго""",6671156423,ELFV,RU000A0F5UN3,1
e1-azipi-4150903,2023-01-09,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ЭЛ5-Энерго""",6671156423,ENRU,RU000A0F5UN3,0
e1-azipi-4150903,2023-01-09,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ЭЛ5-Энерго""",6671156423,OGKE,RU000A0F5UN3,0
e1-azipi-4185998,2023-05-29,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Детский мир""",7729355029,DSKY,RU000A0JSQ90,0
e1-azipi-4194532,2023-05-30,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Детский мир""",7729355029,DSKY,RU000A0JSQ90,0
e1-azipi-4201608,2023-06-19,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""",9701082537,GTRK,RU000A0ZYD22,1
e1-azipi-4244285,2023-10-05,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Детский мир""",7729355029,DSKY,RU000A0JSQ90,0
e1-azipi-4292754,2024-04-27,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Европейская Электротехника""",7716814300,EELT,RU000A0JWW54,1
e1-azipi-4325688,2024-08-19,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Ашинский металлургический завод""",7401000473,AMEZ,RU000A0B88G6,1
e1-azipi-4327826,2024-09-03,voluntary_or_mandatory_offer,Публичное акционерное общество РОСБАНК,7730060164,ROSB,RU000A0HHK26,0
e1-azipi-4333501,2024-09-10,voluntary_or_mandatory_offer,"Научно-производственное объединение ""ЭЛСИБ"" публичное акционерное общество",5403102702,ELIB,RU0009101281,0
e1-azipi-4349298,2024-11-18,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ИНГРАД""",7702336269,INGR,RU000A0DJ9B4,0
e1-azipi-4349298,2024-11-18,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ИНГРАД""",7702336269,KFBA,RU000A0DJ9B4,1
e1-azipi-4349298,2024-11-18,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ИНГРАД""",7702336269,OPIN,RU000A0DJ9B4,0
e1-azipi-4375406,2025-01-30,squeeze_out_request_95,"Публичное акционерное общество ""Ашинский металлургический завод""",7401000473,AMEZ,RU000A0B88G6,1
e1-azipi-4389568,2025-03-24,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Калужская сбытовая компания""",4029030252,KLSB,RU000A0DKZK3,1
e1-azipi-4443861,2025-07-30,voluntary_or_mandatory_offer,"Публичное акционерное общество ""СмартТехГрупп""",9704168849,CARM,RU000A105NV2,1
